level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2338	-1	
2	1	1	0	0	0	57	133	113	24	-1	
3	1	1	1	0	0	57	133	113	24	-1	
4	1	1	1	1	0	57	133	113	24	-1	
5	1	1	1	1	1	57	133	80	24	93	GROUP
5	1	1	1	1	2	157	133	13	23	92	B
2	1	2	0	0	0	58	169	694	32	-1	
3	1	2	1	0	0	58	169	694	32	-1	
4	1	2	1	1	0	58	169	694	32	-1	
5	1	2	1	1	1	58	172	94	24	92	ENGINE
5	1	2	1	1	2	173	182	11	5	92	-
5	1	2	1	1	3	203	171	80	24	95	Water
5	1	2	1	1	4	303	170	62	30	95	Pump
5	1	2	1	1	5	383	169	46	26	95	and
5	1	2	1	1	6	449	170	46	25	95	Fan
5	1	2	1	1	7	515	170	28	31	61	23
5	1	2	1	1	8	563	170	80	26	96	Litre
5	1	2	1	1	9	661	172	91	25	34	Petrol
2	1	3	0	0	0	1378	353	90	25	-1	
3	1	3	1	0	0	1378	353	90	25	-1	
4	1	3	1	1	0	1378	353	90	25	-1	
5	1	3	1	1	1	1378	353	90	25	95	538671
2	1	4	0	0	0	1121	407	46	27	-1	
3	1	4	1	0	0	1121	407	46	27	-1	
4	1	4	1	1	0	1121	407	46	27	-1	
5	1	4	1	1	1	1121	407	46	27	37	OV.
2	1	5	0	0	0	473	471	191	34	-1	
3	1	5	1	0	0	473	471	191	34	-1	
4	1	5	1	1	0	473	471	191	34	-1	
5	1	5	1	1	1	473	471	191	34	64	WM600041L(5)
2	1	6	0	0	0	793	436	286	81	-1	
3	1	6	1	0	0	793	436	286	81	-1	
4	1	6	1	1	0	793	436	286	81	-1	
5	1	6	1	1	1	793	444	126	73	6	OC)
2	1	7	0	0	0	378	579	189	31	-1	
3	1	7	1	0	0	378	579	189	31	-1	
4	1	7	1	1	0	378	579	189	31	-1	
5	1	7	1	1	1	378	579	189	31	15	SH504081L.(5)
2	1	8	0	0	0	1047	560	35	21	-1	
3	1	8	1	0	0	1047	560	35	21	-1	
4	1	8	1	1	0	1047	560	35	21	-1	
5	1	8	1	1	1	1047	560	35	21	14	ry
2	1	9	0	0	0	1460	606	39	38	-1	
3	1	9	1	0	0	1460	606	39	38	-1	
4	1	9	1	1	0	1460	606	39	38	-1	
5	1	9	1	1	1	1460	606	39	38	60	O)
2	1	10	0	0	0	265	642	241	31	-1	
3	1	10	1	0	0	265	642	241	31	-1	
4	1	10	1	1	0	265	642	241	31	-1	
5	1	10	1	1	1	265	644	95	23	94	256233
5	1	10	1	1	2	380	642	43	30	85	33"
5	1	10	1	1	3	445	643	61	30	94	long
2	1	11	0	0	0	864	644	96	25	-1	
3	1	11	1	0	0	864	644	96	25	-1	
4	1	11	1	1	0	864	644	96	25	-1	
5	1	11	1	1	1	864	644	96	25	96	247078
2	1	12	0	0	0	1039	650	41	11	-1	
3	1	12	1	0	0	1039	650	41	11	-1	
4	1	12	1	1	0	1039	650	41	11	-1	
5	1	12	1	1	1	1039	650	41	11	51	7
2	1	13	0	0	0	572	598	231	102	-1	
3	1	13	1	0	0	572	598	231	102	-1	
4	1	13	1	1	0	572	598	231	102	-1	
5	1	13	1	1	1	572	598	231	102	13	a
2	1	14	0	0	0	1255	646	170	58	-1	
3	1	14	1	0	0	1255	646	170	58	-1	
4	1	14	1	1	0	1255	646	170	58	-1	
5	1	14	1	1	1	1255	646	170	58	31	Z=9)
2	1	15	0	0	0	1089	699	143	27	-1	
3	1	15	1	0	0	1089	699	143	27	-1	
4	1	15	1	1	0	1089	699	143	27	-1	
5	1	15	1	1	1	1089	699	143	27	79	WM600047L
2	1	16	0	0	0	655	792	145	23	-1	
3	1	16	1	0	0	655	792	145	23	-1	
4	1	16	1	1	0	655	792	145	23	-1	
5	1	16	1	1	1	655	792	125	22	46	WM60005
5	1	16	1	1	2	787	793	13	22	46	TL
2	1	17	0	0	0	973	710	83	81	-1	
3	1	17	1	0	0	973	710	83	81	-1	
4	1	17	1	1	0	973	710	83	81	-1	
5	1	17	1	1	1	973	710	83	81	7	SZ
2	1	18	0	0	0	1231	709	84	142	-1	
3	1	18	1	0	0	1231	709	84	142	-1	
4	1	18	1	1	0	1231	709	84	142	-1	
5	1	18	1	1	1	1231	709	84	142	0	-
2	1	19	0	0	0	760	839	103	90	-1	
3	1	19	1	0	0	760	839	103	90	-1	
4	1	19	1	1	0	760	839	103	90	-1	
5	1	19	1	1	1	760	839	103	90	38	cA
2	1	20	0	0	0	823	824	62	80	-1	
3	1	20	1	0	0	823	824	62	80	-1	
4	1	20	1	1	0	823	824	62	80	-1	
5	1	20	1	1	1	823	824	62	80	65	»
2	1	21	0	0	0	1141	890	38	39	-1	
3	1	21	1	0	0	1141	890	38	39	-1	
4	1	21	1	1	0	1141	890	38	39	-1	
5	1	21	1	1	1	1141	894	9	35	26	}
5	1	21	1	1	2	1175	890	4	14	41	\
2	1	22	0	0	0	1202	928	75	34	-1	
3	1	22	1	0	0	1202	928	75	34	-1	
4	1	22	1	1	0	1202	928	75	34	-1	
5	1	22	1	1	1	1202	928	75	34	0	WZ
2	1	23	0	0	0	1074	925	65	50	-1	
3	1	23	1	0	0	1074	925	65	50	-1	
4	1	23	1	1	0	1074	925	65	50	-1	
5	1	23	1	1	1	1074	925	65	50	30	Z
2	1	24	0	0	0	1097	970	16	21	-1	
3	1	24	1	0	0	1097	970	16	21	-1	
4	1	24	1	1	0	1097	970	16	21	-1	
5	1	24	1	1	1	1097	970	16	21	0	Z
2	1	25	0	0	0	1213	957	35	23	-1	
3	1	25	1	0	0	1213	957	35	23	-1	
4	1	25	1	1	0	1213	957	35	23	-1	
5	1	25	1	1	1	1213	957	35	23	35	On
2	1	26	0	0	0	612	925	116	112	-1	
3	1	26	1	0	0	612	925	120	112	-1	
4	1	26	1	1	0	612	925	116	112	-1	
5	1	26	1	1	1	612	925	116	112	33	6)
2	1	27	0	0	0	1397	1011	95	25	-1	
3	1	27	1	0	0	1397	1011	95	25	-1	
4	1	27	1	1	0	1397	1011	95	25	-1	
5	1	27	1	1	1	1397	1011	95	25	96	530478
2	1	28	0	0	0	67	1018	190	31	-1	
3	1	28	1	0	0	67	1018	190	31	-1	
4	1	28	1	1	0	67	1018	190	31	-1	
5	1	28	1	1	1	67	1018	190	31	0	¥M600041L
5	1	28	1	1	2	213	1004	46	50	23	(4)
2	1	29	0	0	0	833	1044	95	25	-1	
3	1	29	1	0	0	833	1044	95	25	-1	
4	1	29	1	1	0	833	1044	95	25	-1	
5	1	29	1	1	1	833	1044	95	25	95	598064
2	1	30	0	0	0	1105	976	78	84	-1	
3	1	30	1	0	0	1105	976	78	84	-1	
4	1	30	1	1	0	1105	976	78	84	-1	
5	1	30	1	1	1	1105	976	78	84	71	©)
2	1	31	0	0	0	1119	968	72	84	-1	
3	1	31	1	0	0	1119	968	72	84	-1	
4	1	31	1	1	0	1119	968	72	84	-1	
