level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	507	272	605	36	-1	
3	1	1	1	0	0	507	272	605	36	-1	
4	1	1	1	1	0	507	272	605	36	-1	
5	1	1	1	1	1	507	272	122	28	93	CADRE
5	1	1	1	1	2	650	288	12	7	92	-
5	1	1	1	1	3	684	277	165	27	92	CARTERS
5	1	1	1	1	4	869	293	13	6	91	-
5	1	1	1	1	5	907	277	205	31	71	RESERVOIA
2	1	2	0	0	0	371	338	40	20	-1	
3	1	2	1	0	0	371	338	40	20	-1	
4	1	2	1	1	0	371	338	40	20	-1	
5	1	2	1	1	1	371	338	40	20	38	ss
2	1	3	0	0	0	657	375	186	33	-1	
3	1	3	1	0	0	657	375	186	33	-1	
4	1	3	1	1	0	657	375	186	33	-1	
5	1	3	1	1	1	657	378	35	21	85	7-
5	1	3	1	1	2	706	375	137	33	89	7Ranger
2	1	4	0	0	0	1077	354	439	73	-1	
3	1	4	1	0	0	1077	354	439	73	-1	
4	1	4	1	1	0	1077	354	439	73	-1	
5	1	4	1	1	1	1077	350	99	88	27	Ss
2	1	5	0	0	0	926	637	43	29	-1	
3	1	5	1	0	0	926	637	43	29	-1	
4	1	5	1	1	0	926	637	43	29	-1	
5	1	5	1	1	1	926	637	43	29	29	MS
2	1	6	0	0	0	554	739	61	23	-1	
3	1	6	1	0	0	554	739	61	23	-1	
4	1	6	1	1	0	554	739	61	23	-1	
5	1	6	1	1	1	554	739	8	16	2	/
2	1	7	0	0	0	722	803	66	28	-1	
3	1	7	1	0	0	722	803	66	28	-1	
4	1	7	1	1	0	722	803	66	28	-1	
5	1	7	1	1	1	722	803	66	28	42	Wis
2	1	8	0	0	0	652	1102	279	25	-1	
3	1	8	1	0	0	652	1102	279	25	-1	
4	1	8	1	1	0	652	1102	279	25	-1	
5	1	8	1	1	1	652	1102	101	23	93	PIECES
5	1	8	1	1	2	764	1103	167	24	91	EMAILLEES
2	1	9	0	0	0	555	1214	652	146	-1	
3	1	9	1	0	0	555	1214	652	146	-1	
4	1	9	1	1	0	555	1214	652	146	-1	
5	1	9	1	1	1	551	1210	110	164	24	Cs
5	1	9	1	1	2	704	1214	503	146	28	[|e
2	1	10	0	0	0	100	1369	62	23	-1	
3	1	10	1	0	0	100	1369	62	23	-1	
4	1	10	1	1	0	100	1369	62	23	-1	
5	1	10	1	1	1	100	1369	62	23	96	Cadre
2	1	11	0	0	0	168	1387	351	9	-1	
3	1	11	1	0	0	168	1387	351	9	-1	
4	1	11	1	1	0	168	1387	351	9	-1	
5	1	11	1	1	1	168	1387	351	9	17	meee
5	1	11	1	1	2	285	1375	26	28	35	ee
5	1	11	1	1	3	320	1375	73	28	24	reece
5	1	11	1	1	4	401	1375	55	28	9	cere
5	1	11	1	1	5	465	1375	59	28	9	anaes
2	1	12	0	0	0	589	1375	70	23	-1	
3	1	12	1	0	0	589	1375	70	23	-1	
4	1	12	1	1	0	589	1375	70	23	-1	
5	1	12	1	1	1	589	1375	70	23	96	23027
2	1	13	0	0	0	755	1377	68	23	-1	
3	1	13	1	0	0	755	1377	68	23	-1	
4	1	13	1	1	0	755	1377	68	23	-1	
5	1	13	1	1	1	755	1377	68	23	96	23068
2	1	14	0	0	0	919	1378	69	23	-1	
3	1	14	1	0	0	919	1378	69	23	-1	
4	1	14	1	1	0	919	1378	69	23	-1	
5	1	14	1	1	1	919	1378	69	23	94	23147
2	1	15	0	0	0	1084	1379	70	24	-1	
3	1	15	1	0	0	1084	1379	70	24	-1	
4	1	15	1	1	0	1084	1379	70	24	-1	
5	1	15	1	1	1	1084	1379	70	24	96	23766
2	1	16	0	0	0	1250	1381	68	23	-1	
3	1	16	1	0	0	1250	1381	68	23	-1	
4	1	16	1	1	0	1250	1381	68	23	-1	
5	1	16	1	1	1	1250	1381	68	23	96	23342
2	1	17	0	0	0	1414	1381	70	23	-1	
3	1	17	1	0	0	1414	1381	70	23	-1	
4	1	17	1	1	0	1414	1381	70	23	-1	
5	1	17	1	1	1	1414	1381	70	23	94	23350
2	1	18	0	0	0	101	1401	126	25	-1	
3	1	18	1	0	0	101	1401	126	25	-1	
4	1	18	1	1	0	101	1401	126	25	-1	
5	1	18	1	1	1	101	1401	65	24	96	Carter
5	1	18	1	1	2	175	1403	52	23	69	droit
2	1	19	0	0	0	234	1421	285	8	-1	
3	1	19	1	0	0	234	1421	285	8	-1	
4	1	19	1	1	0	234	1421	285	8	-1	
5	1	19	1	1	1	234	1421	285	8	3	See
5	1	19	1	1	2	351	1409	50	28	16	ete
5	1	19	1	1	3	416	1421	73	8	0	eee
5	1	19	1	1	4	496	1409	26	28	2	ee
2	1	20	0	0	0	589	1407	70	24	-1	
3	1	20	1	0	0	589	1407	70	24	-1	
4	1	20	1	1	0	589	1407	70	24	-1	
5	1	20	1	1	1	589	1407	70	24	96	23049
2	1	21	0	0	0	755	1409	69	23	-1	
3	1	21	1	0	0	755	1409	69	23	-1	
4	1	21	1	1	0	755	1409	69	23	-1	
5	1	21	1	1	1	755	1409	69	23	96	23076
2	1	22	0	0	0	920	1410	69	24	-1	
3	1	22	1	0	0	920	1410	69	24	-1	
4	1	22	1	1	0	920	1410	69	24	-1	
5	1	22	1	1	1	920	1410	69	24	94	23153
2	1	23	0	0	0	1084	1411	70	25	-1	
3	1	23	1	0	0	1084	1411	70	25	-1	
4	1	23	1	1	0	1084	1411	70	25	-1	
5	1	23	1	1	1	1084	1411	70	25	96	23767
2	1	24	0	0	0	1249	1413	69	23	-1	
3	1	24	1	0	0	1249	1413	69	23	-1	
4	1	24	1	1	0	1249	1413	69	23	-1	
5	1	24	1	1	1	1249	1413	69	23	96	23347
2	1	25	0	0	0	1413	1414	71	23	-1	
3	1	25	1	0	0	1413	1414	71	23	-1	
4	1	25	1	1	0	1413	1414	71	23	-1	
5	1	25	1	1	1	1413	1414	71	23	93	23355
2	1	26	0	0	0	101	1434	148	29	-1	
3	1	26	1	0	0	101	1434	148	29	-1	
4	1	26	1	1	0	101	1434	148	29	-1	
5	1	26	1	1	1	101	1434	65	23	96	Carter
5	1	26	1	1	2	173	1436	76	27	96	gauche
2	1	27	0	0	0	251	1453	268	8	-1	
3	1	27	1	0	0	251	1453	268	8	-1	
4	1	27	1	1	0	251	1453	268	8	-1	
5	1	27	1	1	1	251	1453	71	5	12	pee
5	1	27	1	1	2	359	1453	78	7	16	tee
5	1	27	1	1	3	464	1455	55	6	28	eae
2	1	28	0	0	0	589	1439	70	24	-1	
3	1	28	1	0	0	589	1439	70	24	-1	
4	1	28	1	1	0	589	1439	70	24	-1	
5	1	28	1	1	1	589	1439	70	24	96	23050
2	1	29	0	0	0	755	1441	68	23	-1	
3	1	29	1	0	0	755	1441	68	23	-1	
4	1	29	1	1	0	755	1441	68	23	-1	
5	1	29	1	1	1	755	1441	68	23	96	23077
2	1	30	0	0	0	919	1442	70	24	-1	
3	1	30	1	0	0	919	1442	70	24	-1	
4	1	30	1	1	0	919	1442	70	24	-1	
5	1	30	1	1	1	919	1442	70	24	89	23154
2	1	31	0	0	0	1084	1443	70	24	-1	
3	1	31	1	0	0	1084	1443	70	24	-1	
4	1	31	1	1	0	1084	1443	70	24	-1	
5	1	31	1	1	1	1084	1443	70	24	96	23768
2	1	32	0	0	0	1249	1445	69	23	-1	
3	1	32	1	0	0	1249	1445	69	23	-1	
4	1	32	1	1	0	1249	1445	69	23	-1	
5	1	32	1	1	1	1249	1445	69	23	96	23348
2	1	33	0	0	0	1361	1441	1	7	-1	
3	1	33	1	0	0	1361	1441	1	7	-1	
4	1	33	1	1	0	1361	1441	1	7	-1	
5	1	33	1	1	1	1361	1441	1	7	56	|
2	1	34	0	0	0	1413	1445	71	23	-1	
3	1	34	1	0	0	1413	1445	71	23	-1	
4	1	34	1	1	0	1413	1445	71	23	-1	
5	1	34	1	1	1	1413	1445	71	23	94	23356
2	1	35	0	0	0	102	1466	100	23	-1	
3	1	35	1	0	0	102	1466	100	23	-1	
4	1	35	1	1	0	102	1466	100	23	-1	
5	1	35	1	1	1	102	1466	100	23	69	Réservoir
2	1	36	0	0	0	217	1484	302	9	-1	
3	1	36	1	0	0	217	1484	302	9	-1	
4	1	36	1	1	0	217	1484	302	9	-1	
5	1	36	1	1	1	217	1484	302	9	15	Dew
5	1	36	1	1	2	301	1473	24	28	21	ee
5	1	36	1	1	3	334	1473	40	28	24	wen
5	1	36	1	1	4	385	1473	55	28	18	rent
5	1	36	1	1	5	448	1473	76	28	20	eens
2	1	37	0	0	0	589	1471	70	23	-1	
3	1	37	1	0	0	589	1471	70	23	-1	
4	1	37	1	1	0	589	1471	70	23	-1	
5	1	37	1	1	1	589	1471	70	23	96	23053
2	1	38	0	0	0	755	1473	68	23	-1	
3	1	38	1	0	0	755	1473	68	23	-1	
4	1	38	1	1	0	755	1473	68	23	-1	
5	1	38	1	1	1	755	1473	68	23	81	23075
2	1	39	0	0	0	920	1474	68	24	-1	
3	1	39	1	0	0	920	1474	68	24	-1	
4	1	39	1	1	0	920	1474	68	24	-1	
5	1	39	1	1	1	920	1474	68	24	92	23152
2	1	40	0	0	0	414	1517	105	7	-1	
3	1	40	1	0	0	414	1517	105	7	-1	
4	1	40	1	1	0	414	1517	105	7	-1	
5	1	40	1	1	1	414	1517	105	7	0	etree
2	1	41	0	0	0	589	1502	70	24	-1	
3	1	41	1	0	0	589	1502	70	24	-1	
4	1	41	1	1	0	589	1502	70	24	-1	
5	1	41	1	1	1	589	1502	70	24	96	23060
2	1	42	0	0	0	1084	1475	70	24	-1	
3	1	42	1	0	0	1084	1475	70	24	-1	
4	1	42	1	1	0	1084	1475	70	24	-1	
5	1	42	1	1	1	1084	1475	70	24	96	23769
2	1	43	0	0	0	1248	1477	69	23	-1	
3	1	43	1	0	0	1248	1477	69	23	-1	
4	1	43	1	1	0	1248	1477	69	23	-1	
5	1	43	1	1	1	1248	1477	69	23	96	23349
2	1	44	0	0	0	1413	1477	70	24	-1	
3	1	44	1	0	0	1413	1477	70	24	-1	
4	1	44	1	1	0	1413	1477	70	24	-1	
5	1	44	1	1	1	1413	1477	70	24	96	23357
2	1	45	0	0	0	100	1497	298	31	-1	
3	1	45	1	0	0	100	1497	298	31	-1	
4	1	45	1	1	0	100	1497	298	31	-1	
5	1	45	1	1	1	100	1497	79	23	96	Marche
5	1	45	1	1	2	186	1498	46	27	96	pied
5	1	45	1	1	3	240	1499	52	22	96	droit
5	1	45	1	1	4	301	1500	97	28	96	plastique
2	1	46	0	0	0	754	1504	69	24	-1	
3	1	46	1	0	0	754	1504	69	24	-1	
4	1	46	1	1	0	754	1504	69	24	-1	
5	1	46	1	1	1	754	1504	69	24	96	23060
2	1	47	0	0	0	919	1506	69	23	-1	
3	1	47	1	0	0	919	1506	69	23	-1	
4	1	47	1	1	0	919	1506	69	23	-1	
5	1	47	1	1	1	919	1506	69	23	96	23060
2	1	48	0	0	0	1084	1507	70	24	-1	
3	1	48	1	0	0	1084	1507	70	24	-1	
4	1	48	1	1	0	1084	1507	70	24	-1	
5	1	48	1	1	1	1084	1507	70	24	95	23773
2	1	49	0	0	0	1248	1509	70	23	-1	
3	1	49	1	0	0	1248	1509	70	23	-1	
4	1	49	1	1	0	1248	1509	70	23	-1	
5	1	49	1	1	1	1248	1509	70	23	96	23402
2	1	50	0	0	0	1413	1510	69	23	-1	
3	1	50	1	0	0	1413	1510	69	23	-1	
4	1	50	1	1	0	1413	1510	69	23	-1	
5	1	50	1	1	1	1413	1510	69	23	96	23402
2	1	51	0	0	0	588	1534	71	29	-1	
3	1	51	1	0	0	588	1534	71	29	-1	
4	1	51	1	1	0	588	1534	71	29	-1	
5	1	51	1	1	1	588	1534	71	29	58	(grége)
2	1	52	0	0	0	754	1536	70	28	-1	
3	1	52	1	0	0	754	1536	70	28	-1	
4	1	52	1	1	0	754	1536	70	28	-1	
5	1	52	1	1	1	754	1536	70	28	89	(grége)
2	1	53	0	0	0	918	1537	72	29	-1	
3	1	53	1	0	0	918	1537	72	29	-1	
4	1	53	1	1	0	918	1537	72	29	-1	
5	1	53	1	1	1	918	1537	72	29	77	(grége)
2	1	54	0	0	0	1048	1539	144	26	-1	
3	1	54	1	0	0	1048	1539	144	26	-1	
4	1	54	1	1	0	1048	1539	144	26	-1	
5	1	54	1	1	1	1048	1539	53	25	95	(bleu
5	1	54	1	1	2	1110	1540	82	25	92	marine)
2	1	55	0	0	0	1254	1541	60	25	-1	
3	1	55	1	0	0	1254	1541	60	25	-1	
