level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1728	2200	-1	
2	1	1	0	0	0	960	70	638	21	-1	
3	1	1	1	0	0	960	70	638	21	-1	
4	1	1	1	1	0	960	70	638	21	-1	
5	1	1	1	1	1	960	70	98	18	96	SECTION
5	1	1	1	1	2	1067	70	28	17	74	III
5	1	1	1	1	3	1104	70	73	17	96	EXTRA
5	1	1	1	1	4	1188	70	131	21	96	EQUIPMENT
5	1	1	1	1	5	1331	71	48	17	96	AND
5	1	1	1	1	6	1392	71	86	17	95	SPECIAL
5	1	1	1	1	7	1493	71	105	18	95	VEHICLES
2	1	2	0	0	0	745	98	214	39	-1	
3	1	2	1	0	0	745	98	214	39	-1	
4	1	2	1	1	0	745	98	214	39	-1	
5	1	2	1	1	1	745	98	82	38	69	OIL
5	1	2	1	1	2	854	98	105	39	69	COO:
2	1	3	0	0	0	202	154	58	15	-1	
3	1	3	1	0	0	202	154	58	15	-1	
4	1	3	1	1	0	202	154	58	15	-1	
5	1	3	1	1	1	202	154	58	15	96	PLATE
2	1	4	0	0	0	213	171	38	14	-1	
3	1	4	1	0	0	213	171	38	14	-1	
4	1	4	1	1	0	213	171	38	14	-1	
5	1	4	1	1	1	213	171	38	14	92	REF.
2	1	5	0	0	0	294	160	82	18	-1	
3	1	5	1	0	0	294	160	82	18	-1	
4	1	5	1	1	0	294	160	82	18	-1	
5	1	5	1	1	1	294	160	82	18	94	1234
2	1	6	0	0	0	450	158	184	22	-1	
3	1	6	1	0	0	450	158	184	22	-1	
4	1	6	1	1	0	450	158	184	22	-1	
5	1	6	1	1	1	450	158	184	22	96	DESCRIPTION
2	1	7	0	0	0	809	158	40	26	-1	
3	1	7	1	0	0	809	158	40	26	-1	
4	1	7	1	1	0	809	158	40	26	-1	
5	1	7	1	1	1	809	158	40	26	90	Qty
2	1	8	0	0	0	885	158	85	22	-1	
3	1	8	1	0	0	885	158	85	22	-1	
4	1	8	1	1	0	885	158	85	22	-1	
5	1	8	1	1	1	885	159	45	21	97	Part
5	1	8	1	1	2	937	158	33	21	83	No.
2	1	9	0	0	0	1247	159	130	22	-1	
3	1	9	1	0	0	1247	159	130	22	-1	
4	1	9	1	1	0	1247	159	130	22	-1	
5	1	9	1	1	1	1247	159	130	22	96	REMARKS
2	1	10	0	0	0	277	196	485	23	-1	
3	1	10	1	0	0	277	196	485	23	-1	
4	1	10	1	1	0	277	196	485	23	-1	
5	1	10	1	1	1	277	196	45	23	94	OIL
5	1	10	1	1	2	337	197	109	22	96	COOLER
5	1	10	1	1	3	459	197	147	22	96	COMPLETE
5	1	10	1	1	4	619	197	143	22	96	ASSEMBLY
2	1	11	0	0	0	840	198	5	20	-1	
3	1	11	1	0	0	840	198	5	20	-1	
4	1	11	1	1	0	840	198	5	20	-1	
5	1	11	1	1	1	840	198	5	20	77	I
2	1	12	0	0	0	898	197	75	21	-1	
3	1	12	1	0	0	898	197	75	21	-1	
4	1	12	1	1	0	898	197	75	21	-1	
5	1	12	1	1	1	898	197	75	21	94	261838
2	1	13	0	0	0	999	196	576	27	-1	
3	1	13	1	0	0	999	196	576	27	-1	
4	1	13	1	1	0	999	196	576	27	-1	
5	1	13	1	1	1	999	197	84	26	96	Engines
5	1	13	1	1	2	1092	196	108	22	79	numbered
5	1	13	1	1	3	1209	197	70	21	91	860001
5	1	13	1	1	4	1291	203	21	16	96	to
5	1	13	1	1	5	1323	198	91	22	61	16102271
5	1	13	1	1	6	1427	199	40	21	96	and
5	1	13	1	1	7	1479	199	96	21	95	16131648
2	1	14	0	0	0	277	230	485	22	-1	
3	1	14	1	0	0	277	230	485	22	-1	
4	1	14	1	1	0	277	230	485	22	-1	
5	1	14	1	1	1	277	230	47	22	95	OIL
5	1	14	1	1	2	337	230	109	22	95	COOLER
5	1	14	1	1	3	459	231	147	21	96	COMPLETE
5	1	14	1	1	4	619	231	143	21	96	ASSEMBLY
2	1	15	0	0	0	839	231	5	21	-1	
3	1	15	1	0	0	839	231	5	21	-1	
4	1	15	1	1	0	839	231	5	21	-1	
5	1	15	1	1	1	839	231	5	21	53	1
2	1	16	0	0	0	899	230	74	22	-1	
3	1	16	1	0	0	899	230	74	22	-1	
4	1	16	1	1	0	899	230	74	22	-1	
5	1	16	1	1	1	899	230	74	22	96	262104
2	1	17	0	0	0	998	230	559	26	-1	
3	1	17	1	0	0	998	230	559	26	-1	
4	1	17	1	1	0	998	230	559	26	-1	
5	1	17	1	1	1	998	230	84	26	96	Engines
5	1	17	1	1	2	1092	230	108	21	96	numbered
5	1	17	1	1	3	1212	230	95	22	96	16102272
5	1	17	1	1	4	1315	231	40	21	92	and
5	1	17	1	1	5	1366	231	96	22	92	16131649
5	1	17	1	1	6	1471	232	86	21	96	onwards
2	1	18	0	0	0	302	263	220	27	-1	
3	1	18	1	0	0	302	263	220	27	-1	
4	1	18	1	1	0	302	263	220	27	-1	
5	1	18	1	1	1	302	263	33	22	91	Oil
5	1	18	1	1	2	352	264	65	21	91	cooler
5	1	18	1	1	3	425	264	97	26	96	complete
2	1	19	0	0	0	901	263	75	22	-1	
3	1	19	1	0	0	901	263	75	22	-1	
4	1	19	1	1	0	901	263	75	22	-1	
5	1	19	1	1	1	901	263	75	22	94	232212
2	1	20	0	0	0	302	294	321	33	-1	
3	1	20	1	0	0	302	294	321	33	-1	
4	1	20	1	1	0	302	294	321	33	-1	
5	1	20	1	1	1	302	297	45	21	96	Bolt
5	1	20	1	1	2	356	297	29	26	0	4”
5	1	20	1	1	3	395	307	12	11	92	x
5	1	20	1	1	4	417	297	33	26	57	#”
5	1	20	1	1	5	459	298	53	26	96	long)
5	1	20	1	1	6	526	294	14	33	32	aI
5	1	20	1	1	7	553	298	70	25	95	Fixing
2	1	21	0	0	0	901	297	75	21	-1	
3	1	21	1	0	0	901	297	75	21	-1	
4	1	21	1	1	0	901	297	75	21	-1	
5	1	21	1	1	1	901	297	75	21	95	215756
2	1	22	0	0	0	302	330	154	26	-1	
3	1	22	1	0	0	302	330	154	26	-1	
4	1	22	1	1	0	302	330	154	26	-1	
5	1	22	1	1	1	302	330	72	26	96	Spring
5	1	22	1	1	2	382	331	74	21	96	washer
2	1	23	0	0	0	534	327	116	32	-1	
3	1	23	1	0	0	534	327	116	32	-1	
4	1	23	1	1	0	534	327	116	32	-1	
5	1	23	1	1	1	534	327	43	32	61	toil
5	1	23	1	1	2	585	331	65	21	92	cooler
2	1	24	0	0	0	926	330	50	22	-1	
3	1	24	1	0	0	926	330	50	22	-1	
4	1	24	1	1	0	926	330	50	22	-1	
5	1	24	1	1	1	926	330	50	22	95	3074
2	1	25	0	0	0	302	363	89	27	-1	
3	1	25	1	0	0	302	363	89	27	-1	
4	1	25	1	1	0	302	363	89	27	-1	
5	1	25	1	1	1	302	364	42	21	92	Nut
5	1	25	1	1	2	353	363	38	27	22	@')
2	1	26	0	0	0	550	364	114	22	-1	
3	1	26	1	0	0	550	364	114	22	-1	
4	1	26	1	1	0	550	364	114	22	-1	
5	1	26	1	1	1	550	370	21	15	95	to
5	1	26	1	1	2	580	364	84	22	95	radiator
2	1	27	0	0	0	925	363	49	22	-1	
3	1	27	1	0	0	925	363	49	22	-1	
4	1	27	1	1	0	925	363	49	22	-1	
5	1	27	1	1	1	925	363	49	22	95	2823
2	1	28	0	0	0	900	397	75	21	-1	
3	1	28	1	0	0	900	397	75	21	-1	
4	1	28	1	1	0	900	397	75	21	-1	
5	1	28	1	1	1	900	397	75	21	95	237139
2	1	29	0	0	0	302	397	465	26	-1	
3	1	29	1	0	0	302	397	465	26	-1	
4	1	29	1	1	0	302	397	465	26	-1	
5	1	29	1	1	1	302	397	34	21	95	Set
5	1	29	1	1	2	345	397	41	21	96	bolt
5	1	29	1	1	3	394	397	26	26	34	4”
5	1	29	1	1	4	433	407	13	11	96	x
