level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2338	-1	
2	1	1	0	0	0	244	151	113	25	-1	
3	1	1	1	0	0	244	151	113	25	-1	
4	1	1	1	1	0	244	151	113	25	-1	
5	1	1	1	1	1	244	152	79	24	96	GROUP
5	1	1	1	1	2	341	151	16	23	96	A
2	1	2	0	0	0	700	139	308	30	-1	
3	1	2	1	0	0	700	139	308	30	-1	
4	1	2	1	1	0	700	139	308	30	-1	
5	1	2	1	1	1	700	139	308	30	95	INTRODUCTION
2	1	3	0	0	0	235	215	202	23	-1	
3	1	3	1	0	0	235	215	202	23	-1	
4	1	3	1	1	0	235	215	202	23	-1	
5	1	3	1	1	1	235	215	202	23	91	REPERTOIRES
2	1	4	0	0	0	236	258	1069	28	-1	
3	1	4	1	0	0	236	258	1069	28	-1	
4	1	4	1	1	0	236	258	1069	28	-1	
5	1	4	1	1	1	236	261	28	21	96	Le
5	1	4	1	1	2	273	260	118	26	93	catalogue
5	1	4	1	1	3	400	262	121	23	91	comporte
5	1	4	1	1	4	531	264	29	16	95	un
5	1	4	1	1	5	571	258	85	22	96	certain
5	1	4	1	1	6	666	258	97	21	95	nombre
5	1	4	1	1	7	771	259	29	21	93	de
5	1	4	1	1	8	810	259	134	26	92	répertoires
5	1	4	1	1	9	952	265	28	16	92	en
5	1	4	1	1	10	991	259	111	22	91	facilitant
5	1	4	1	1	11	1114	259	17	21	90	la
5	1	4	1	1	12	1142	258	163	22	94	consultation.
2	1	5	0	0	0	236	325	7	22	-1	
3	1	5	1	0	0	236	325	7	22	-1	
4	1	5	1	1	0	236	325	7	22	-1	
5	1	5	1	1	1	236	325	7	22	96	1
2	1	6	0	0	0	301	321	1166	30	-1	
3	1	6	1	0	0	301	321	1166	30	-1	
4	1	6	1	1	0	301	321	1166	30	-1	
5	1	6	1	1	1	301	324	130	27	88	Répertoire
5	1	6	1	1	2	451	323	84	22	90	illustré
5	1	6	1	1	3	552	335	20	3	91	—
5	1	6	1	1	4	593	323	13	21	58	Il
5	1	6	1	1	5	625	323	100	22	92	consiste
5	1	6	1	1	6	741	329	29	16	96	en
5	1	6	1	1	7	787	323	29	22	94	de
5	1	6	1	1	8	834	323	83	26	94	petites
